thithake	ठिठके
vidhyaaddhyayan	विद्याध्ययन
hatsha	हातशा
chamakaaunga	चमकाऊंगा
tanio	तानियो
sthirtavadi	स्थिरतावादी
alphus	एल्फस
burabada	बुराबाड़ा
bahirmarg	बहिर्मार्ग
mendelson	मेन्डेलसन
ghumofiro	घूमोफिरो
gurutvaheenata	गुरुत्वहीनता
ghotkar	घोटकर
tujkho	तुझको
besera	बेसेरा
nazuki	नाज़ुकी
khadkane	खड़काने
karoonamulak	करुणामूलक
khairan	खैरन
ghutai	घुटाई
kobehtarin	कोबेहतरीन
tridents	ट्राइडेन्टस
chhurika	छुरिका
vaahanaatoon	वाहनातून
pranikaran	प्राणिकरण
jhangjiaku	झांगजियाकू
denox	डिनॉक्स
gatkari	गटकरी
kothimbir	कोथिंबीर
peddling	पैडलिंग
marudhar	मरूधर
teamchi	टीमची
pahunchaanevaale	पहुँचानेवाले
maharajanchech	महाराजांचेच
srihatta	श्रीहट्ट
chungthang	चुंगथांग
paraathon	पराठों
ghadvinyamage	घडविण्यामागे
jharba	झरबा
varial	वेरियल
kirkiraengi	किरकिराएंगी
bandri	बांदरी
requests	डाक्यूमेंट्स
palyanshi	पाल्यांशी
samjuteene	समजुतीने
baramatikar	बारामतीकर
sanitise	सैनीटाइज
chabaayaa	चबाया
kotakahalur	कोटकहलूर
raashtrakut	राष्ट्रकूट
sanitorium	सैनिटोरियम
vinashonmukh	विनाशोन्मुख
dabaavav	दबावव
cucullatus	कुकुलैटस
talashiyaan	तलाशियाँ
ishwadas	ईश्वदास
own	ंओहन्
sniyabhalang	स्नियाभालंग
ambad	अम्बड
aisiyon	ऐसियों
baniyape	बनियापे
lankabekar	लंकाबेकर
servicebook	सर्विसबुक
karengerawat	करेंगेरावत
majdood	मजदूद
netty	नेट्टी
jaaliye	जालिए
ardhashushk	अर्धशुष्क
homepad	होमपैड
rongfer	रोंगफर
golardha	गोलार्धा
rupadiya	रूपड़िया
gharaataliya	घरातलीय
sandhivaat	सन्धिवात
tames	टेम्स
chikitsakeeya	चिकित्सकीय
thevanyasathichya	ठेवण्यासाठीच्या
aavaanra	आवांरा
kannadmadhun	कन्नडमधून
chamunderi	चामुंडेरी
derl	डीईआरएल
marque	मार्के
mushkoh	मुश्कोह
lagahe	लगहे
laikram	लैकराम
mahawali	महावली
shivami	शिवमी
chhayachitrache	छायाचित्राचे
thippari	थिप्परी
ilhami	इलहामी
parull	पारुल
danguaposi	डांगुवापोसी
tandwa	तंडवा
rekun	रेकुन
reshamlal	रेशमलाल
shivpratishthancha	शिवप्रतिष्ठानचा
rngrejva	रँगरेजवा
spectroradiometer	स्पेक्ट्रोरेडियोमीटर
vidhayakalahatu	विधायकलहटू
yoshda	योशदा
wembell	वेम्बेल
oboth	ओबोथ
dhariyonwali	धारियोंवाली
shivankit	शिवांकित
shelduck	शेलडक
mandalatil	मंडलातील
mahalekhapariksha	महालेखापरीक्षा
nishbhaav	निष्भाव
prtibimbit	प्रतिबिम्बित
cbim	सीबीआईएम
koochadi	कुचाड़ी
matrakvihin	मात्रकविहीन
karnaili	करनैली
tairon	तैरों
ankali	अंकाली
gyaarahen	ग्यारहें
aeee	एईईई
jaminicha	जमीनीचा
kamazoratareen	कमज़ोरतरीन
somyata	सोम्यता
upabandhita	उपबंधित
mahemano	महेमानो
kaisaa	कैसा
chyavneshwar	च्यवनेश्वर
hasla	हसला
takalyapasun	टाकल्यापासून
ghulaav	घुलाव
doshinchi	दोषींची
palhalan	पल्हालन
kargaya	करगया
aavarttan	आवर्त्तन
aparaahani	अपराहनी
barardo	बरार्डो
avg	एवीजी
digester	डाइजेस्टर
meteorology	मिटियोरॉलजी
vinicha	विनीचा
istefa	इस्तेफा
pmdr	पीएमडीआर
purvisarkhe	पूर्वीसारखे
surajkaur	सुरजकौर
talabiyon	तलबियों
nurvi	नूर्वी
relu	रेलू
saklahun	सकलहुं
saanvaidhaanik	सांवैधानिक
mgnrega	एमजीएनआरईजीए
harvinyachi	हरविण्याची
toffoli	टोफोली
strawberry	स्ट्राबरी
sunaayii	सुनायी
thanag	थनाग
nimnailikhit	निम्नइलिखित
jhimri	झिमरी
charitravihin	चरित्रविहीन
bignona	बिगनोना
chitendra	चितेन्द्र
saidgarhi	सैदगढ़ी
ranganagal	रंगानगल
salkia	सालकिया
auntate	औंटते
analyssa	अनालिसा
staphylococcus	स्टैफिलोकोकस
dakshines	दक्षिणेस
kalitara	कालीतारा
kanaj	कनज
rustenberg	रस्टनबर्ग
kantapon	कंटापों
atitmukhi	अतीतमुखी
adhikaaripadi	अधिकारीपदी
khatana	खताना
lipter	लिप्टर
filename	फाइलनेम
amheda	अम्हेडा
kaljulaid	कलजुलैद
barahmasia	बारहमासिया
tivranubhuti	तीव्रानुभूति
mandate	मैंडेट
sarvasiddhi	सर्वसिद्धि
bachchonwale	बच्चोंवाले
likhnewala	लिखनेवाला
khirveere	खिरवीरे
hanahana	हनहना
associationla	असोसिएशनला
samatta	समत्ता
chhudaani	छुड़ानी
avnesh	अवनेश
incominc	इनकमिंक
kodbaddh	कोडबद्ध
powerprash	पावरप्राश
nandanpura	नन्दनपुरा
transmint	ट्रांसमिंट
prefencial	प्रिफेन्सियल
marutidham	मारुतिधाम
carings	केरिंग्स
fedorchenko	फेदर्चेन्को
ghanaon	घनाओं
ovalution	ओवल्युशन
graaff	ग्राफ
badbadaaye	बड़बड़ाये
minimalist	मिनिमलिस्ट
bratislava	ब्रेटीस्लावा
gabon	गेबान
odfell	ओडफेल
pareeksheche	परीक्षेचे
auditions	आडिशंस
ganatich	गणतीच
hadarlyanantar	हादरल्यानंतर
anumasamudrampeta	अनुमासमुद्रमपेटा
maansaahuti	माँसाहुति
purecha	पुरेचा
nbbui	एनबीबीयूआई
jutyukt	जुटयुक्त
pccv	पीसीसीवी
mapro	मैपरो
hridayaane	हृदयाने
jilden	जिल्दें
manappawadi	मानाप्पावाडी
ranbhum	रणभूम
narota	नरोटा
kerung	केरुंग
pharmacopeial	फॉर्माकोपिएल
sucrose	शुक्रोज
aasakata	आसकता
meals	मील्स
kukrajhor	कुकराझोर
sambargi	संबर्गी
adblue	एडब्लू
sukhedo	सुखेदो
vrikshakaranj	वृक्षकरंज
forwell	फारवेल
nehwar	नेहवर
khumanchand	खुमानचंद
banshraji	बंशराजी
tadabachya	तदाबाच्या
gallio	गैलियो
khakkhar	खक्खर
fanado	फनाडो
sarkat	सरकत
sairul	सैरुल
pradumman	प्रदुम्मन
ilavelangal	इलवेलांगल
gangechya	गंगेच्या
brahmeshwarapatya	ब्रह्मेश्वरापत्य
keejiga	कीजिगा
khandagiri	खांडागिरि
burbank	बरबंक
castus	कैस्टस
gumat	गुमत
sonyavar	सोन्यावर
shivans	शिवांस
lakhuva	लखुवा
venugopal	वेणूगोपाल
rajpramukh	राजप्रमुख
barjani	बरजानी
journalmeteorologiya	मिटियारोलोजिया
astringent	अस्ट्रिंजेंट
madyaharan	मद्यहरण
shamarh	शामर
kilisht	किलिष्ट
muzko	मुजको
savaarne	सवारने
rawiiwaar	रविवार
jhunja	झुंजा
bhavgrahi	भावग्रही
nausori	नउसोरी
ambuvan	अम्बुवन
chiga	चिगा
gadrai	गदराई
govande	गोवंदे
gowershetty	गावरशेट्टी
ugalwana	उगलवाना
bhagesh	भागेश
kapaseti	कपसेटी
gharonda	घरोंडा
megptcl	एमईजीपीटीसीएल
tirole	तिरोल
mobilepremies	मोबाइलप्रेमियों
vaakyakhand	वाक्यखण्ड
ahmednagarkade	अहमदनगरकडे
oylovo	ओयलोवो
ekahara	एकहरा
chundrigar	चुंदरीगर
moqua	मॉकुआ
marubani	मारुबनी
ramasundaram	रामासुंदरम
batra	बत्रा
kadiri	कदिरि
kusamavali	कुसमावली
methylbromide	मेथाइलब्रोमाइड
rajwad	रजवाड़
chakrapaalit	चक्रपालित
tootunga	टूटूंगा
aabhyaaran	आभ्यारण
gajawar	गजावर
rosatia	रोसेशिया
navaajane	नवाजने
ghubar	ग़ुबार
babalkul	बबलकुल
bouwhuis	बाउव्हीस
bhairiji	भैरीजी
soren	सोरन
naiyaayikon	नैयायिकों
fikrahai	फिक्रहै
weapens	वेपेन्स
yayalik	यायालिक
kamarmein	कमरमें
antardvanda	अन्तर्द्वन्द्व
adhikaargat	अधिकारगत
lambgolakar	लंबगोलाकार
devyaagyik	देवयाज्ञिक
transferchya	ट्रान्सफरच्या
harigun	हरिगुन
scalper	स्केल्पर
rasikdar	रसिकदार
michmichana	मिचमिचाना
rangabhumichya	रंगभूमीच्या
panchendriya	पंचेन्द्रिय
parameshwaratvam	परमेश्वरत्वम्
andhashraddhevirodhat	अंधश्रद्धेविरोधात
tatamotorssmarthub	टाटामोटर्सस्मार्टहब
keedu	कीडू
constrained	कंस्ट्रेन्ड
tajanm	ताजन्म
debavan	देबवन
aspondilitis	एस्पांडिलाइटिस
pratishthapanechya	प्रतिष्ठापनेच्या
sunsets	सनसेट्स
lunaachaarsqee	लुनाचार्स्की
antebbe	एंटेबे
marjuana	मारजुआना
shannon	शैनॉन
yaking	येकिंग
tanavpurv	तनावपूर्व
samak	समक
suraheimers	सुराहैमर्स
byzantine	बीज़ान्टिन
abdulaziz	अब्दुलजाज
ghaanv	घानव
biharnepal	बिहारनेपाल
galbladder	गैलब्लैडर
atialadai	अटियालादाई
karpaliya	करपलिया
bhugolachya	भुगोलाच्या
paluni	पलूनी
gyakomo	ग्याकोमो
carresco	कैरेस्को
mahayanon	महायानों
vaachana	वाचना
amaranath	अमरानाथ
muddonko	मुद्दोंको
hemalini	हेमालिनी
srikantirava	श्रीकांतीरावा
faujis	फौजियों
experience	एक्सपेरिएन्स
bassio	बासियो
kabz	कब्ज़
yoku	योकु
mishrikh	मिश्रीख
ravivashankar	रविवशंकर
yuddabhoomi	युद्दभूमि
khinchaake	खिंचाके
cibs	सीआईबीएस
dojag	दोजग
chikru	चिकरु
yoohananaa	यूहनना
centres	केन्द्रय
shvivastav	श्वीवास्तव
lurghuti	लुरघुटी
dakhine	दाखिने
uduthukettu	उदुथूकेत्तु
oribe	ओरिबे
ahuara	अहुआरा
coursescha	कोर्सेसचा
funnardies	फनार्डीज
rucheera	रुचिर
satyender	सतेंद्र
bruggeman	ब्रगमेन
bhaagakar	भागकर
lyam	ल्याम
aurum	ऑरम
ingale	इंगाले
rugger	रगर
physant	फिजेंट
babru	बबरू
agirason	आगिरसों
superservivours	सुपरसर्वाइवर्स
khatebahya	खातेबाह्य
panoroma	पनोरोमा
kodoor	कोदूर
dimb	डिम्ब
cripper	क्रिप्पर
arinhat	अरिंहत
elephant	एलिफेन्ट
luristan	लुरिस्तान
farlane	फारलेन
sanitiser	सैनेटाइजर
adibhasha	आदिभाषा
akpede	अकपेडे
cottryard	कोट्रयार्ड
bhairambaba	भैरमबाबा
yaunichha	यौनिच्छा
dharinuma	धारीनुमा
abbayilu	अब्बायिलु
candalnut	कैंडलनट
lignite	इग्नाइट
majud	मजुद
avadaran	अवदरण
veltindies	वेल्टइंडीज
chedanaa	छेदना
dalwao	डलवाओ
biagi	बैगी
hindstan	हिंद्स्तान
sharmaata	शरमाता
mysthenia	माइस्थेनिया
sevanivritt	सेवनिवृत्त
ignacio	इग्नाशियो
babin	बाबिन
oshana	ओशाना
microcontroller	मिक्रोकंट्रोलर
passed	पास्ड
khairoda	खैरोदा
heyatullah	हेयातुल्ला
bariatu	बरियातु
pravir	परवीर
aparivartniya	अपरिवर्तनीय
lamari	लामारी
nanjiani	नांजियानि
plundered	प्लंडर्ड
shramonmukh	श्रमोन्मुख
ishwarache	ईश्वराचे
pentalio	पेंटेलियो
zhu	झू
rinhai	रिनहाई
larvae	लार्वों
rambhushan	रामभूषण
ethiopian	एथियोपियन
honover	होनोवर
kasorel	कसोरेल
ankuri	अंकुरी
signalus	सिग्नलस
gopujan	गोपुजन
sardarmal	सरदारमल
bazwaya	बाज़वाया
dashashwameghashwar	दशाश्वमेघश्वर
alakuram	अलकुराम
ksacs	केएसएसीएस
jhaarekari	झारेकरी
barakheda	बराखेड़ा
commission	कमिश्न
andrave	एंड्रेव
cyanocobalamin	सायनोकोबैलमीन
instagramcha	इन्स्टाग्रामचा
secretariate	सेक्रेटरियेट
jinkanare	जिंकणारे
neeyamiteekaran	नियमितीकरण
ahmadabadkade	अहमदाबादकडे
opcharik	ओपचारिक
compromising	कंप्रोमाईजिंग
electroactive	इलेक्ट्रोएक्टिव
nanhet	नन्हात
naulakhi	नौलखी
parambuddhi	परमबुद्धि
rasprad	रसप्रद
prabhashya	प्रभाष्य
abadgarh	अबादगढ़
mahadevia	महादेविया
putaun	पतों
rushita	रुशिता
sthirvaas	स्थिरवास
chyog	च्योग
drashte	द्रष्टे
sontag	सानटाग
pradarshankariyen	प्रदर्शनकारियें
kravaar	क्रवार
procera	प्रोसेरा
curvile	कर्वाइल
vishayaapekhsaa	विषयापेक्षा
pdfi	पीडीएफआइ
seehan	सीहन
huakarati	हुआकरती
doddagouda	डोड्डागौड़ा
vilinikaranasathi	विलीनीकरणासाठी
romansky	रोमान्स्की
mentos	मेंटोस
jhingra	झिंगरा
tehsildargan	तहसीलदारगण
stategic	स्टेटजिक
lakshmidarshanachi	लक्ष्मीदर्शनाची
carmon	कार्मन
languages	लैंग्वेज
bhrashtasangati	भ्रष्टसंगति
stellment	स्टेलमेन्ट
tamaashebaaz	तमाशेबाज़
islamist	इस्लामी
bembde	बेंबडे
trivedisushama	त्रिवेदीसुषमा
ftv	एफटीवी
polla	पोल्ला
winid	विनआईडी
vishagrast	विषग्रस्त
iyers	अय्यर्स
tanakh	तनाख
canvet	कैनवेट
jhoomaron	झूमरों
khjua	खजुआ
bokaane	बोकाने
cardsheet	कार्डशीट
vipupt	विपुप्त
kondivali	कोंडिवली
swachchhagrih	स्वच्छागृह
ramaknali	रामकनाली
lakshar	लक्षर
qaabaa	क़ाबा
dromatic	ड्रॉमेटिक
khumran	खुमरान
vinar	वीनर
lavkaran	लवकरण
shetkaryasamor	शेतकऱ्यासमोर
cosmos	कॉसमोस
klient	क्लाइंट
pratibimvit	प्रतिबिम्वित
biratnagar	विराटनगर
ikh	ईख
aquib	आक़िब
spilitism	स्पिलिटिज्म
buildieg	बिल्डीग
takranewali	टकरानेवाली
marvaayengi	मरवाएंगी
mogrulov	मोगरुलोव
kechuli	केचुली
rajasi	राजसी
shaktishili	शक्तिशीली
rayesar	रायेसर
traceability	ट्रैसिएबिलिटी
sedeh	सेदेह
controversory	कंट्रोवर्सरी
buildmate	बिल्डमेट
dhondu	धोंदू
pangebaaz	पंगेबाज़
pithampur	पीथमपुर
shetkaryambarobarach	शेतकऱ्यांबरोबरच
rikshwala	रिक्शवाला
storekeepers	स्टोरकीपर्स
raganusar	रागानुसार
bhoomisankhya	भूमिसंख्या
humlogon	हमलोगों
barodkar	बारोदकर
exhibison	एक्सिबिसन
oviedo	ओवियडो
laadkiyon	लाड़कियों
finkvaye	फिंकवाए
meme	मीम
navgeetbandh	नवगीतबंध
barmingham	बरमिंघम
retrospectives	रेट्रोस्पेक्टिव्स
punyajanon	पुण्यजनों
namankshar	नामांक्षर
deepdhar	दीपधर
qujiang	कुजिआंग
khizadia	खिजादिया
pmidf	पीएमआईडीएफ
mukaarkaan	मुकारकां
navyugalon	नवयुगलों
gathayen	गाथायें
muizzadin	मुइज्जुद्दीन
damghauntu	दमघौंटू
notifications	नोटिफ़िकेशन्स
apilkartaon	अपीलकर्ताओं
gadolia	गाडोलिया
dhwanigat	ध्वनिगत
chakachi	चाकाची
givemore	गिवमोर
entorhinal	एंटोराइनल
ferdation	फेरडेशन
simatati	सिमटती
mangalprasangi	मंगलप्रसंगी
psychotic	साइकोटिक
khalikurrehman	खलीकुर्रेहमान
rahsyapurn	रहस्यपूर्ण
bhoomisudharon	भूमिसुधारों
bahilwara	बहिलवारा
gozley	गोज़ले
adhivaakyoun	अधिवाक्यों
fostein	फोस्टीन
parcel	पार्सलों
vrikshaachchaadit	वृक्षाच्छादित
anastikta	अनास्तिकता
saheene	सहीने
pebbing	पेबिंग
jhukovski	झुकोव्स्की
dhumeshwardham	धूमेश्वरधाम
nazara	नजारा
abolhassan	अबोलहसन
lacharo	लाचारो
khaayenge	खायेंगे
harvaayega	हरवाएगा
tulkarm	तुलकर्म
fpce	एफपीसीई
nahuron	नहरों
hyperthyroidism	हायपरथाइरॉयडिज्म
karkamb	करकंब
flashbattery	फ्लैशबैटरी
adeshanusar	अदेशानुसार
moortiryon	मूर्तिर्यों
vinashlala	विनाशलाला
dhirese	धिरेसे
jarawi	जरावी
ashmayugeen	अश्मयुगीन
sexmukhmaithun	सेक्समुखमैथुन
cylindero	सिलिंडरों
parikramaavaasiyon	परिक्रमावासियों
tairak	तैरक
shahdev	शाहदेव
akhlaakon	अखलाकों
internations	इंटरनेशंस
fillings	फिलिंग्स
punyasathi	पुण्यासाठी
nagarsevakpadapasun	नगरसेवकपदापासून
pritipalsinh	प्रीतिपालसिंह
treke	ट्रेके
dorchester	डॉर्चेस्टर
haritkari	हरितकारी
sachendi	सचेन्दी
electrophotographic	इलेक्ट्रोफोटोग्राफिक
pipliyaravan	पिपलियारावान
nirasata	नीरसता
aarazuu	आरज़ू
nephrons	नेफ्रोंस
baadshaahjahaan	बादशाहजहाँ
droad	ड्रोड
navmeghon	नवमेघों
theropod	थेरोपॉड
shudghatavadiyon	शुद्घतावादियों
mavanrahit	मावनरहित
bhengi	भेंगी
taazeem	ताज़ीम
kumaraswamy	कुमारस्वामि
muharankan	मुहरांकन
uthaavaacha	उठावाचा
paryaayakram	पर्यायक्रम
dibbabandi	डिब्बाबन्दी
tiloki	तिलोकि
chatrooms	चैटरूम्स
manindra	मणिंद्र
royogi	रोयोगी
murangon	मुरंगों
sankhyamein	संख्यामें
ahunch	अहुंच
tatksh	तत्क्ष
apratyashi	अप्रत्याशी
yayadhishon	यायाधीशों
blockwise	ब्लॉकवाइज
anchah	अनचाह
fennex	फेनेक्स
tabera	तबेरा
sambandhaatmak	सम्बन्धात्मक
kisamka	किसमका
dhanes	धनेस
rajamoli	राजामोली
basult	बेसल्ट
vacteria	वैक्टेरिया
shinoi	शिनोई
nuklik	नुक्लिक
turanians	तुरानी
couplus	कपलस
grajushan	ग्रजुशन
chhagya	छाग्या
barnava	बरनावा
padakrant	पदाक्रांत
avishkarkartaon	आविष्कारकर्ताओं
panchmrit	पंचमृत
bilvarchan	बिल्वार्चन
whitting	विटिंग
harville	हरविले
sansadmein	संसदमें
graphite	ग्रेफाईट
harsevanand	हरसेवानंद
nayakbhed	नायकभेद
samudrasnan	समुद्रस्नान
bombproof	बॉम्बप्रूफ
muskaraanaa	मुस्कराना
brajbhan	ब्रजभान
niethammer	नीथममर
wadkhede	वाडखेड़े
willamette	विलमेट
gawali	गवाली
bitarit	बितरित
preeclampsia	प्रीक्लेंपसिया
instability	इंस्टैबिलिटी
pochvaayache	पोचवायचे
muninchya	मुनींच्या
kanoyala	कनोयला
chuhdiwala	चूहड़ीवाला
israyalmadhye	इस्रायलमध्ये
mangalaacharan	मंगलाचरण
saddhaav	सद्धाव
saftar	सफ्तार
draupadike	द्रौपदीके
tehsildarala	तहसीलदाराला
sadas	सदस
suryochch	सूर्योच्च
beldara	बेलदरा
abhayanandan	अभयनंदन
vyamarjaniya	व्यामार्जनीय
beryl	बेरिल
aahatata	आहतता
chediraj	चेदिराज
washrooms	वॉशरूम्स
intercommunication	इंटरकम्यूनिकेशन
ratikrida	रतिक्रीड़ा
antangon	अंतांगों
awaara	आवारा
bekardi	बेकर्दी
kalavantiyon	कलावंतियों
comissional	कमिशनल
novebuilder	नावबिल्डर
pmje	पीएमजेई
khushalani	खुशालानी
acfaulitor	एक्फॉलिटर
refined	रीफाइन्ड
bioincubators	बायोइनक्यूबेटर्स
widdle	विडल
zameene	ज़मीने
mengdha	मेंगधा
magnal	मैग्नल
ronic	रोनिक
vakyashon	वाक्याशों
jeliang	जेलियांग
selnuma	सेलनुमा
hontho	होंठों
parasaran	परसरन
chandreshwari	चंद्रेश्वरी
arshinder	अरशिन्दर
thackerage	ठाकरेज
sevastyanov	सेवास्तियानोव
vergo	वर्गों
hawahin	हवाहीन
purje	पुर्जे
bavjoot	बावजूत
issentia	इसेंशिया
brokerage	ब्रोकरेज
aljayatu	अलजायतू
ravigarg	रविगर्ग
guninder	गुनिंदर
passingerconch	पैसिंजरकोंच
brookside	ब्रुकसाइड
converge	कंवर्ज
deshumalkana	देशुमलकाना
ctbs	सीटीबीएस
mankoli	मानकोली
banite	बनिते
sabic	सैबिक
prashasakon	प्रशासकों
gurmiyan	गुरमियां
mehrol	मेहरोल
avasthaateet	अवस्थातीत
brazen	ब्राज़ेन
hoonku	हूंकू
tetelia	तेतेलिया
chaudharinagar	चौधरीनगर
ghotlebaajon	घोटलेबाजों
dobhalwala	डोभालवाला
casablanca	कासाब्लांका
sanketmatra	संकेतमात्र
devicenate	डिवाइसनेट
muhhabbat	मुहब्बत
tashicho	ताशिचो
madhuswamy	माधुस्वामी
behnabaji	बहनाबाजी
baabaae	बाबाए
avvaiyar	अववयार
boliyaan	बोलियाँ
santul	संतुल
kabushiki	काबुशिकि
mahanirikshakansah	महानिरीक्षकांसह
eleazar	एलीआज़र
balidani	बलिदानी
chandralekha	चन्द्रलेख
neoin	नियोइन
mangalanand	मंगलानंद
maisal	मैसल
pachtaachh	पछताछ
mirpur	मीरपुर
pentagon	पेंटागोन
shreshthvakta	श्रेष्ठवक्ता
nivaniyukt	निवनियुक्त
conglomerate	कोंगलोमेराट
hilogi	हिलोगी
adhyatmiktavadi	आध्यात्मिकतावादी
dutkaare	दुतकारे
chiemsee	केमजे
khasais	खसाइस
islamists	इस्लामवाद
chaganbappa	छगनबप्पा
chanarpur	चनरपुर
kandke	कांडके
tagmental	टेगमेंटल
jarkhiholi	जरखिहोली
lokmaitri	लोकमैत्री
darshanon	दर्शनों
bushehar	बुशेहर
chainchi	चैंची
shikhil	शिखिल
shrutyantar	श्रुत्यान्तर
mancade	मैनकेड
vedroad	वेडरोड
chitarsari	चितरसारी
champasur	चम्पासुर
parichaarikaayen	परिचारिकायें
yuqi	यूकी
dufnaane	दफनाने
sinhavritti	सिंहवृत्ति
puravanyacha	पुरवण्याचा
baluchi	बलूची
mathogi	मथोगी
versova	वेरसोवा
medugorje	मेडूगोर्जे
ginward	गिन्वार्ड
shistapriya	शिस्तप्रिय
akmaluddin	अकमालुद्दीन
raseevan	रसीवन
bageshapura	बागेशपुरा
continuity	कांटिन्यूटी
hadoli	हदोली
dwisantan	द्विसंतान
machon	मचों
mutandi	मुंइ
kourtney	कर्टनी
nagarpalikevar	नगरपालिकेवर
stilettos	स्टिलेटोज
talukyavarhi	तालुक्यावरही
badshahnagar	बादशाहनगर
bandhunche	बंधुंचे
vighnarajendra	विघ्नराजेंद्र
jhumardihara	झुमरडिहरा
converts	कन्वर्ट्स
khanijvigyan	खनिजविज्ञान
harafmanmaula	हरफमनमौला
kuchaikot	कुचाईकोट
dogopolov	दोगोपोलोव
lalhalunmawi	लालहलुनमावी
prachaas	प्रचास
dhupad	धुपद
crumbley	क्रम्बली
chelyavinsk	चेल्याविंस्क
supergrandmaster	सुपरग्रैंडमास्टर
tarkovsky	तार्कोव्स्की
vishwastariiya	विश्वस्तरीय
trann	त्रण
apng	अपंग
taitil	तैतिल
dundabank	डंडाबैंक
pradhikarantarfe	प्राधिकरणतर्फे
pratyupaay	प्रत्युपाय
decomposed	डिकम्पोज्ड
sudharanyat	सुधारण्यात
jinata	जिनता
valvinder	वलविंद्र
matdaanpatr	मतदानपत्र
siddhaganakaatil	सिद्धगणकातील
amyloidosis	एमिलॉयडोसिस
mahaabhish	महाभिष
meesaabandee	मीसाबंदी
banalya	बनल्या
ohana	ओहना
aakaankshaaon	आकाँक्षाओं
digitalise	डिजिटलाइज
jahangiri	जहांगिरी
kharidfarokht	खरीदफरोख़्त
uposhankartyanche	उपोषणकर्त्यांचे
milanon	मिलानों
pranaysambandh	प्रणयसंबंध
singelia	सिंगेलिया
denisovance	डेनिसोवन्स
alpika	अल्पिका
garkha	गरखा
kuvyakhyaen	कुव्याख्याएं
chalalate	चललते
betavad	बेटावद
angulika	अंगुलिका
jiyav	जियाव
suryakar	सूर्यकर
dpir	डीपीआईआर
preekhodako	प्रीखोदको
vikamkame	विकामकामे
sanguda	सांगुड़ा
seomjin	सिओम्जिन
bahupunyapradayak	बहुपुण्यप्रदायक
masitganj	मसीतगंज
khivraj	खिवराज
sensoral	सेंसोरल
tantragranth	तंत्रग्रंथ
lachal	लाचल
diwaker	दिवाकर
pradarshik	प्रदर्शिक
jumli	जुमली
frabrication	फ्रैब्रिकेशन
regaon	रेगांव
shainamul	शैनामुल
sochipo	सोचिपो
mundena	मुंडेना
malsarikheda	मालसरीखेड़ा
sallalahu	सल्ललाहू
itabuna	इटेबुना
navnesh	नवनेश
sambharai	संभारै
galimohallon	गलीमोहल्लों
durghatanakarit	दुर्घटनाकारित
kantrolai	कंट्रोलै
shanaya	शनय
khuche	खुचे
zaahili	ज़ाहिली
atilekhan	अतिलेखन
mahavyavasthapakanchya	महाव्यवस्थापकांच्या
rosini	रोसिनी
shraddhasamuh	श्रद्धासमूह
puranapul	पुरनापुल
siddareddy	सिद्दरेड्डी
babujan	बाबुजन
kordura	कोरडुरा
mitraclipse	माइट्राक्लिप्स
gachibauli	गचीबाउली
messagena	मेसेजना
khangalati	खंगालती
sushanth	सुशान्त
gunvattapurak	गुणवत्तापूरक
psli	पीएसएलआई
budeeriro	बुदीरिरो
beraulia	बेरौलिया
tattvanchya	तत्त्वांच्या
tikvinyabarobar	टिकविण्याबरोबर
jhaokin	झाओकिन
krodhpurn	क्रोधपूर्ण
vikhroli	विक्रोली
gaekwadwaril	गायकवाडवरील
abuddhi	अबुद्धि
pahunchaak	पहुँचाक
leakers	लीकर्स
sanskrutheekarann	संस्कृतीकरण
rangachaarlu	रंगाचार्लु
peshkhani	पेशखानी
takbiratul	तकबीरतुल
tenri	टेनरी
vishaleshit	विशलेषित
aavaasanon	आवासनों
bering	बिरिंग
bomos	बोमोस
aishwaryadaayinim	ऐश्वर्यदायिनीम्
chagta	चागता
kodolimarge	कोडोलीमार्गे
pacingeranzibabad	पैसिंजरनजीबाबाद
mohanavedivelan	मोहनवेदिवेलन
khadua	खडुआ
bhairaviyan	भैरवियां
riwal	रीवाल
utpanaache	उत्पनाचे
fumbing	फम्बिंग
nemishyarai	नेमिश्यराय
ministi	मिनिस्ती
gajula	गजुला
mendonsa	मेन्डोंसा
bhagavatti	भगवत्ती
nelumbo	नीलम्बो
ukc	यूकेसी
lalaghati	लालाघाटी
jhuriwala	झुरीवाला
kalajhar	कालाझार
dimargi	दिमारगी
boondeng	बूंडेंग
tokokichi	तोकोकिची
swapnilata	स्वप्निलता
bhaavabh	भावभ
baukhala	बौखाला
karolwada	करोलवाडा
bodygroom	बॉडीग्रूम
khadakaai	खड़काई
barley	बारली
spickervaroon	स्पिकरवरून
aceclofenac	एसीक्लोफीनाक
shwasavarodh	श्वासावरोध
dgca	डीजसीसीए
diocletion	डायोक्लीशन
baludas	बालूदास
shwetashwatara	श्वेताश्वतारा
vajrshwari	बज्रेश्वरी
handymen	हैंडीमेन
mahatvajkankshaon	महत्वाजकांक्षाओं
triplix	ट्रिप्लिक्स
ganpatirdevta	गणपतिर्देवता
samparpit	सम्पर्पित
vyakki	व्यक्कि
golgol	गोलगोल
rulebook	रूलबुक
lakshmanprandatre	लक्ष्मणप्राणदात्रे
ashgabat	अशगाबट
girardin	गिरार्डिन
navratnas	नवरत्नों
grampanchatinchi	ग्रामपंचातींची
savnish	सवनीश
suhrabadi	सुहराबादी
balian	बालियान
ashrav	आश्रव
