sabherwal	सभरवाल
kankariya	कंकरिया
kirtikar	कीर्तिकर
anjeev	अंजीव
graca	ग्राका
pittaranjak	पित्तरंजक
angamehanati	अंगमेहनती
satulan	सतुलन
neuroendocrine	नयूरोएंडोक्राइन
lipatwaya	लिपटवाया
scubble	स्कबल
adhil	अधिल
avaidhtaon	अवैधताओं
gearson	गियरसन
wamachar	वामाचार
jageshwari	जागेश्वरी
dillirajyasabha	दिल्लीराज्यसभा
uraanvon	उराँवों
prevention	प्रवेंशन
sikodti	सिकोड़ती
dhalkebar	ढलकेबार
kaundhane	कौंधने
khuntadih	खूंटाडीह
shikkh	शिक्ख
bhentke	भेंटके
chhutega	छूटेगा
shirshvarta	शीर्षवार्ता
jamakhata	जमाखाता
grihaprakalpanchi	गृहप्रकल्पांची
parmanandamaya	परमानंदमय
nakhaadhar	नखाधार
valparai	वालपारई
macrizo	मैकरिजो
gavbhagcha	गावभागचा
deraguru	डेरागुरु
ridkumar	रिडकुमार
fotedar	फ़ोतेदार
hodge	हॉज
taiwar	ताइवार
irritating	इरीटेटिंग
sioparno	सिओपार्नो
upsent	अपसेंट
antargatsanrakshit	अंतर्गतसंरक्षित
jhunjaar	झुंजार
witchs	विच्स
sanmarg	शन्मर्ग
dabazi	दबाज़ी
eremond	एरेमंड
ejb	ईजेबी
kisamka	किसमका
morchebandi	मोर्चेबन्दी
kashyapji	कश्यपजी
uba	यूबीए
hanbury	हैनबरी
pyraclosterabin	पायराक्लोस्ट्राबिन
vimansevach	विमानसेवाच
lavika	लाविका
avalahalli	अवलहल्ली
oghad	ओघद
pochvu	पोचवू
maramarisah	मारामारीसह
tanabe	तनबे
parmanviya	परमाणवीय
poklu	पोकलु
pahunchaneke	पहुँचनेके
chhotebadon	छोटेबड़ों
dhuttargavkar	धुत्तरगावकर
goodyer	गुडयर
samanyakaran	सामान्यकरण
chaubandiyon	चौबंदियों
gangamkar	गंगामकर
admistration	एडमिसट्रेशन
mustabad	मुस्ताबाद
pengu	पेंग
dindivar	दिंडीवर
paakbadaa	पाकबड़ा
ramnomi	रामनोमी
gawachi	गवाची
mahantha	महंथा
bovp	बीओवीपी
akkalkotche	अक्कलकोटचे
chhalaavebaaji	छलावेबाजी
firella	फिरेला
unmaadbhare	उन्मादभरे
jeivakeey	जैवकीय
naturalist	नेचुरालिस्ट
harevali	हरेवली
talaj	तलाज
ritushraav	ऋतुश्राव
sukhchandra	सुखचन्द्र
sekti	सेकती
rsertificate	र्सर्टिफिकेट
softwank	सॉफ्टवैंक
vandaru	वंधारु
marbadi	मारबाडी
lavnish	लवनिश
quenoa	क्यूनोआ
peshbandi	पेशबन्दी
greams	ग्रीम्स
matoshreetoon	मातोश्रीतून
asutale	आसुतले
shiddiqi	शिद्दीकी
alghad	अलघद
madhavbhai	माधवभाई
firdausa	फिरदौसा
carbohydrade	कार्बोहाइड्रेड
cawyam	काव्यम्
vidamvanaaon	विडंवनाओं
raveye	रवेये
sheeshgarh	शीशगढ़
kamdhenupad	कामधेनुपद
upvarga	उपवर्ग
chitalkar	चितलकर
vinamrakhand	विनम्रखण्ड
kaseeree	कसीरी
dulhon	दुल्हों
samjavalyanantar	समजावल्यानंतर
talavanchya	तलावांच्या
neshtanabut	नेश्तनाबूत
hectis	हेक्टिस
gilgilat	गिलगिलत
hamey	हमे
chhupaayi	छुपाई
salkhiya	सलखिया
overditing	ओवरडाइटिंग
shavvahikecha	शववाहिकेचा
dabakat	दबकत
purvasanket	पूर्वसंकेत
defessed	डिफेस्ड
sajjah	सज्जाह
ansaariyon	अन्सारियों
anudaatt	अनुदात्त
kavito	कवितो
shabadon	शब्दों
aadarshpurush	आदर्शपुरुष
dukhaavalo	दुखावलो
initiative	इनीशियेटिव
jankeenath	जानकीनाथ
bassmaster	बस्मास्टर
bogai	बोगाई
shaiyar	शायर
cspi	सीएसपीआई
bharatvasiyonke	भारतवासीयोंके
gemetry	जेमेट्री
ruchesh	रुचेश
sanyam	सान्याम
lawnikaron	लावनीकारों
jankariyaan	जनकरियाँ
purnoor	पुरनूर
doncaster	ड़ोंकास्टर
injustriyal	इंजस्ट्रियल
guchchha	गुच्छा
kirakaari	किरकारी
rolls	रोल्स
rathkhaane	रथखाने
wikimania	विकिमेनिया
osnos	ओस्नोस
dhanjay	धनजय
weingarten	वाइनगार्टन
musically	म्यूज़िकली
vangelia	वांजेलिया
storerooms	स्टोररूम
prajvalankaksh	प्रज्वलनकक्ष
sanhitaatmak	संहितात्मक
napikiche	नापिकीचे
bandhanahi	बंधनही
yachmi	यचमी
gataranche	गटारांचे
jihadio	जिहादियो
sutrabaddha	सूत्रवद्ध
antepudendum	अग्रप्यूडेंडम
devprani	देवप्राणी
kakkanadan	कक्कानादन
stotrahai	स्तोत्रहै
belaganj	बेलागंज
mahinyaane	महीन्याने
naviya	नवीय
bhagwatipurche	भगवतीपूरचे
bombusfotanmadhil	बॉम्बस्फोटांमधील
shastragyalahi	शास्त्रज्ञालाही
bhaunkbhaunk	भौंकभौंक
ganjbazar	गंजबाजार
trifed	ट्राइफैड
wascon	वास्कोन
sansuchan	संसूचन
afflante	आफ्लान्ते
guterrers	गुटेरर्स
sarvilansh	सर्विलांश
mahatchavpurna	महत्चवपूर्ण
ankalmand	अंकलमंद
rupapali	रूपापाली
fahran	फहरान
mursalat	मुरसलात
kaidu	काइदू
pavshi	पावशी
arjuneshwar	अर्जुनेश्वर
nanidadi	नानीदादी
ayni	आयनी
gaanjaau	गांजाऊ
mussa	मुस्सा
vimyala	विम्याला
hanskrit	हंस्कृत
finishers	फिनिशर्स
rakshaatal	रक्षातल
lubbe	लुब्बे
nagalkar	नागलकर
kaushalnagar	कौशलनगर
madhmashi	मधमाशी
punctured	पंक्चर्ड
coachanderfer	कोचेंडरफर
rookiye	रूकिये
kanabi	कनबी
akrosit	आक्रोसित
kartavyashunya	कर्तव्यशून्य
kirtimani	कीर्तिमानी
lipitt	लिपित्त
ratiolution	रेश्योल्यूशन
sangankavaril	संगणकावरील
officers	आफ़िसर्स
lukhu	लुखु
arrector	एरेक्टर
chunaab	चुनाब
maidanasathi	मैदानासाठी
rishibhakt	ऋषिभक्त
zamiluddin	जमीलुद्दीन
vaktagan	वक्तागण
hazirzababi	हाजिरजबाबी
bhainsaae	भैंसाए
rangprayogon	रंगप्रयोगों
leicestshire	लिसेस्टशायर
singhala	सिंहला
sphurtimaya	स्फूर्तिमय
hetbhaav	हेतभाव
masajhe	मसझे
kahwa	क़ह्वा
debayanti	देबयन्ती
variyam	वरियम
udalgudi	उदलगुड़ी
islamikrit	इस्लामीकृत
setia	सेटिया
kilakalanch	किलाकलांच
flyte	फ्लाइट
tabiiyat	तबीयत
bahumatse	बहुमतसे
morken	मोर्कन
bawankashi	बावनकाशी
bhatiwal	भाटिवाल
ranjor	रनजौर
muslimanshi	मुस्लिमांशी
bhitthamod	भिट्ठामोड
adhyakshi	अध्यक्षी
panchwatika	पंचवाटिका
kambandh	कंबंध
vrataratnakar	व्रतरत्नाकर
khachiang	खचियांग
vaivastu	वैवस्तु
compete	कॉम्पीट
tamravarniya	ताम्रवर्णीय
inleaving	इनलिविंग
residentia	रेजिडेंशिया
anukhandiya	अनुखंडीय
santapat	सन्तप्त
rathiye	रथिए
thokaave	ठोकावे
vaidyakar	वैद्यकर
shetisathi	शेतीसाठी
matridosh	मातृदोष
hamnami	हमनामी
udaattvaad	उदात्तवाद
kegirte	केगिरते
pranabjit	प्रणबजीत
ramankaul	रमणकौल
shavini	शविनी
calment	कैलमेंट
tarsana	तरसाना
johal	जोहाल
nihma	निहमा
lonchig	लोन्चिग
nikatkaalik	निकटकालिक
dangli	दांगली
distilling	डिस्टिलिंग
shankarpuri	शंकरपुरी
vikalpanivesh	विकल्पनिवेश
sankalpadridhata	संकल्पदृढ़ता
hariyaanawi	हरियाणवी
mahanshakti	महानशक्ति
waaraaha	वाराह
abaro	अबरो
ajitabh	अजिताभ
sevitlova	सेवितलोवा
peletran	पैलेट्रान
huwairath	हुवाइराथ
phodanyashivay	फोडण्याशिवाय
interpretation	इंटरप्रटेशन
jaruratmad	जरुरतमद
dhamot	धमोट
gaandhiyon	गाँधियों
yakherij	याखेरीज
somatocensory	सोमेटोसेंसरी
udyogonmukhi	उद्योगोन्मुखी
veegrah	विग्रह
aadhbaar	आधबार
tomarkalin	तोमरकालीन
rakkamsuddha	रक्कमसुद्धा
hatihas	हतिहास
tabasheer	तबाशीर
solistis	सोलिस्टिस
panchkarmon	पंचकर्मों
malcum	माल्कम
baleni	बालेनी
vishandas	विष्णुदास
poims	पोइम्स
kemanusiaan	केमेन्यूसियन
shivpuranke	शिवपुराणके
lalti	ललती
salvin	साल्विन
chhurebaaj	छुरेबाज
akharaghat	अखाराघाट
tarzumaani	तर्ज़ुमानी
durgatiyon	दुर्गतियों
diktat	दिक्तत
parisheshanuman	परिशेषानुमान
bisaven	बीसवें
subodnet	सबोडनेट
banshiram	बंशीराम
lokpalchya	लोकपालच्या
bhalubasa	भालुबासा
shubhkaamnaavon	शुभकामनावों
jhariyanala	झरियानाला
ghuguti	घुगुती
uddharrahit	उद्धाररहित
rokhane	रोखने
werbowy	वेर्बोवी
wolfsburg	वूल्फ्स्बर्ग
transforming	ट्रान्सफॉर्मिंग
kavaadiya	कवाड़िया
grihaniyo	गृहणियो
ujhalane	उझलने
unchaavale	उंचावले
coursellis	कोर्सेलिस
syndicade	सिंडिकेड
bhokadan	भोकदन
roadover	रोडओवर
sanskritihin	संस्कृतिहीन
expresso	एक्सप्रेसो
shaharadhyakshanche	शहराध्यक्षांचे
chloropsia	क्लोरोप्सिया
binawat	बिनावत
lipatate	लिपटते
shuanghe	शुआंघे
nirupane	निरूपणे
avichhinna	अविच्छिन्न
tatolegi	टटोलेगी
commotrade	कॉमोट्रेड
benafi	बेनफी
lenax	लीनैक्स
buldiyon	बुलदियों
nivarya	निवार्या
expressdurg	एक्स्प्रेसदुर्ग
dumphy	डम्फी
chandro	चंद्रू
corpression	कारप्रेशन
bangabandhu	बंगबन्धु
klber	क्लेबर
cortex	कार्टेक्स
manoharsih	मनोहरसिह
vidyavikas	विद्याविकास
abhayusthaan	अभयुस्थान
inline	इनलाइन
dalangi	दलांगी
alloft	अलोफ्ट
mayalpara	मायलपारा
bahava	बहवा
vibhutikhand	विभुतिखंड
vijayadashmichya	विजयादशमीच्या
invermental	इन्वर्मेंटल
virugambakkam	विरुगंबक्कम
aapadaajanit	आपदाजनित
musaafiro	मुसाफ़िरो
schafener	शेफनर
hatibandha	हातिबान्धा
attasted	अटैस्टेड
harapan	हरपन
cinemascope	सिनेमास्कोप
aawaajaahee	आवाजाही
bhindrewala	भिन्डरेवाला
hataavo	हटावो
gambian	गाम्बिआई
cctv	सीसीटीवी
maljayi	मालजयी
ladachi	लाडाची
insider	इंसाइडर
solnic	सोलनिक
sandalus	सैंडलस
pariyoyajanaon	परियोयजनाओं
myrea	मीरिआ
ardhamandapa	अर्धमंडप
prekshakatwa	प्रेक्षकत्व
ihsan	इहसान
netflo	नेटफ्लो
unaka	उनाका
fonsa	फोंसा
nagpure	नागपुरे
mois	मोइस
samun	समुन
punyen	पुन्येन
atyendra	अत्येन्द्र
ibri	इब्री
chhayachitranusar	छायाचित्रानुसार
sothebi	सोथेबी
andharashtravadi	अंधराष्ट्रवादी
puraskaarke	पुरस्कारके
chilakaluripet	चिलकालूरिपेट
burgens	बर्गेन्स
sikhaane	सिखाने
rajbhushan	राजभूषण
jhallaae	झल्लाए
nehrunchya	नेहरुंच्या
ardhagyaan	अर्धज्ञान
malichak	मालीचक
lakadkiyon	लकड़कियों
nikalda	निकलदा
chhapat	छपट
sonmunda	सोनमुंडा
symphor	सिम्फर
kesharinath	केशरीनाथ
pankhiyan	पंखियाँ
bbil	बीबीआईएल
pattay	पट्टे
archibald	आर्किबल्ड
affection	अफैक्शन
achchaapan	अच्छापन
dukhpidatkalif	दुखपीड़ातकलीफ
taayachi	तायची
raamgaad	रामगाड़
saoner	साओनेर
abhilekhabaddh	अभिलेखबद्ध
zahurul	जहुरूल
largest	लार्जेस्ट
condifence	कांडिफेंस
luminiscence	ल्युमिनिसेंस
kesapuricha	केसापुरीचा
mutabiki	मुताबिकि
fahara	फहरा
boundryline	बाउंड्रीलाइन
gallaram	गल्लाराम
heidelberg	हेइडेलबर्ग
chiefton	चीफटन
lunhera	लुन्हेरा
elevin	एलेविन
excitotoxic	एक्सिटोटोक्सिक
formaldahehyde	फॉर्मल्डाहेहाइड
ootardataon	उत्तरदाताओं
glanza	ग्लांजा
nishchaldeep	निश्चलदीप
bajavilyache	बजाविल्याचे
lvm	एलवीएम
honamma	होनम्मा
nashree	नाश्री
sinaiyah	सिनैयाह
maniyen	मनियें
mogna	मोगना
polara	पोलरा
doshapani	दोषापानी
kamalamuni	कमलमुनि
columpiad	कोलम्पियाड
kendriga	केंद्रिगा
kishansinh	किशनसिंह
arefa	आरेफा
antiguan	एन्टीगुआवासी
habak	हबाक
nilia	नीलिया
kylameter	काइलामीटर
awasiya	आवासीय
samarambh	समारंभ
kingmen	किंगमेन
ghagas	घागस
shabmandeep	शबमनदीप
hackey	हैकी
weimer	वीमर
dhariyonwali	धारियोंवाली
niraadhanu	निराधनु
goravshali	गोरवशाली
vanishthu	वनिष्ठु
paramshatru	परमशत्रु
parichhaaya	परिछाया
vivartnik	विवर्तनिक
vidhasabhaon	विधासभाओं
ingin	इंगिन
aanuvanshikta	आनुवंशिकता
figansk	फिगांस्क
adhikdin	अधिकदिन
pakaudi	पकौड़ी
tashkoff	तैशकॉफ
romatinc	रोमाटिंक
ramodaya	रामोदय
raambhaau	रामभाऊ
inplosion	इनप्लोजन
paudhonko	पौधोंको
gunemishrapatya	गुणेमिश्रापत्य
protease	प्रोटिएज
changrara	चंगरारा
shertendua	शेरतेंदुआ
shahwarpore	शाहवरपोर
vex	वेक्स
ristedaro	रिस्तेदारो
dayashilata	दयाशीलता
panchbediya	पंचबेड़िया
lokshahir	लोकशाहिर
anjanayelu	अंजनायेलु
levada	लेवडा
gaukhe	गौखे
kavitri	कवित्री
achaljamo	अचलजामो
odiyaan	ओडियां
intajaare	इन्तजारे
namdevchya	नामदेवच्या
documents	डॉक्यूमेंट्स
algorithms	एल्गोरिदम
semasinghe	सेमसिंघे
upadoot	उपदूत
pimploli	पिंपलोली
kadosh	कादोश
khangwal	खंगवाल
quart	क्वार्ट
barje	बर्जे
aandhrapradeshchya	आंध्रप्रदेशच्या
apekshaase	अपेक्षासे
kesarkaranche	केसरकरांचे
kolhencha	कोल्हेंचा
miryalguda	मिरयालगुडा
vartee	वर्ती
mevaat	मेवात
gungunahat	गुनगुनाहट
jhaambe	झांबे
aese	एसे
inspire	इंसपायर
whatsappchya	व्हाट्सएपच्या
tarkihapurwa	तरकिहापुरवा
hertha	हेर्ता
paryavaranasandarbhat	पर्यावरणासंदर्भात
karbahi	करबाही
dilaatae	दिलाते
paramgat	परमगत
badarwa	बदरवा
toorike	तूरिके
nirbalta	निर्बलता
padadhiriyon	पदाधिरियों
martabe	मरतबे
firestick	फायरस्टिक
sarbhari	सरभरी
hippa	हिप्पा
pakadwakar	पकडवाकर
nakhdola	नखडोला
belwan	बेलवान
kosanov	कोसानोव
dimension	डायमेन्शन
hajirane	हाजिराने
microfiment	माइक्रोफायमेंट
darapaiki	दरापैकी
swu	स्वु
cinematagraphy	सिनेमेटाग्राफी
sportsbyz	स्पोर्ट्सबिज़
vaksi	वक्सी
sirahi	सिराही
bajghera	बजरिया
bhuttan	भुट्टन
gunaroopi	गुणरूपी
annapurnamma	अन्नपूर्णम्मा
sahbhagitapurn	सहभागितापूर्ण
dabalchauki	डबलचौकी
sajjas	सज्जास
toeta	टोएटा
goken	गोकेन
garjawale	गरजवाले
udvaahak	उद्वाहक
shreperumbudur	श्रेपेरम्बुदूर
holicharan	होलीचरन
shanteesagar	शान्तिसागर
mcconnell	मैक्कोनल
muqallideen	मुक़ल्लिदीन
vadodariya	वड़ोदरिया
harr	हार्र
sadasyapad	सदस्यपद
dbu	डीबीयू
raghul	रघुल
binjwe	बिंजवे
sangwan	संगवाँ
devliya	देवलिया
uplipt	उपलिप्त
leusophone	ल्यूसोफोन
panjshiri	पंजशीरी
vozaraa	वोज़रा
hirawale	हिरावले
cassis	कैसिस
garimo	गरिमो
divasasathi	दिवसासाठी
inlekhakon	इनलेखकों
madhyavarticha	मध्यवर्तीचा
flywell	फ्लाईवेल
venyao	वेन्याओ
ashtamandal	अष्टमंडल
tejika	तेजीका
bijon	बिजोन
aauungaa	आऊँगा
panprasth	पानप्रस्थ
deyodhar	देयोधार
shiga	शिगा
nigadicha	निगडीचा
mahindrasinh	महिंद्रसिंह
barsheni	बरशेनी
lokpriye	लोकप्रिये
valenti	वेलेंटी
jungvi	जुंगवी
anyonyakriyaen	अन्योन्यक्रियाएं
stumper	स्टम्पर
parastithiyon	परस्तिथियों
cheram	चेराम
chokko	चोक्को
amange	अमंगे
shantipoovark	शांतिपूवर्क
theodicia	थियोडिसिया
khelenga	खेलेंगा
muzahidul	मुजाहिदुल
britomart	ब्रिटोमार्ट
limbi	लिंबी
kadadan	कददान
livable	लाइवेबल
pontier	पाइंटर
metyal	मेट्याल
aadarpoorvak	आदरपूर्वक
deadbeaf	डेडबीफ़
horilal	होरिलाल
iplipl	आईपीएलआईपीएल
ning	निंग
containerche	कंटेनरचे
nutney	नटनी
skiing	स्कींग
cde	सीडीई
aajaaegaa	आजाएगा
sambhali	संभाली
nagbhadra	नागभद्र
serialport	सीरियलपोर्ट
tamapan	तामापन
praaptiye	प्राप्तिए
vyaktinshi	व्यक्तींशी
chhaapurvak	छापूर्वक
lofts	लोफ्ट्स
tachycardia	टैककार्डिया
mohanke	मोहनके
chhajala	छजला
brigadela	ब्रिगेडला
thaarvardee	थारवर्दी
saragen	सरागेन
hakini	हाकिनी
kadakakar	कड़ककर
dresti	द्रेष्टि
persley	पर्सले
berush	बेरूश
hindalco	हंडाल्को
nachiketagni	नचिकेताग्नि
sevantibai	सेवंतीबाई
policeman	पुलिसिया
ravies	रैवीज
hayaspur	हयासपुर
palshetkar	पालशेतकर
udaydan	उदयदान
vedharambh	वेधारंभ
chokaane	चोकाने
pradaaharodhi	प्रदाहरोधी
pershort	परशॉर्ट
weeraan	वीरान
sajaur	सजौर
genki	गेनकी
haribhau	हरिबाबू
khangchenjonga	खांगचेन्जोंगा
kuchdinon	कुछदिनों
nirikshanat	निरीक्षणात
palaahach	पलाहच
lizards	लिजार्ड्स
dutkaregi	दुत्कारेगी
uchva	उचवा
kudakpur	कुदकपुर
jhulati	झुलती
paanchavaan	पांचवाँ
maarten	मार्टीन
istehmal	इस्तेहमाल
vidyapithasathi	विद्यापीठासाठी
sonbati	सोनबती
christchurch	क्राइसटचर्च
kichka	किचका
natyandolan	नाट्यांदोलन
zishaan	ज़िशान
gepil	जीईपीआईएल
patali	पाटली
bhajantri	भजंत्री
tapestry	टैपेस्ट्री
brahmanon	ब्राह्मणों
tikmu	टिकमू
pradhinidhitva	प्रधिनिधित्व
ramagundam	रामगुंदम
mugandan	मुगंदन
bhujade	भुजडे
pujaran	पुजारन
rovella	रोवेला
niraastra	निरस्त
skurge	स्कर्ज
suffellosporin	सफेलोस्पोरिन
chitosan	चिटोसन
arabh	अरभ
effence	एफेंस
stallwaroon	स्टॉलवरून
pashani	पाषाणी
khaanvato	खांवतो
jaarv	जार्व
gatishunyata	गतिशून्यता
prayojanmoolak	प्रयोजनमूलक
rinaatm	ऋणात्म
sadhtil	साधतील
sampradaayi	सम्प्रदायी
fauzia	फौजिआ
kaunya	कौन्या
sriramchandrake	श्रीरामचन्द्रके
shamukhar	शमुखर
talashiye	तलाशिये
matvaare	मतवारे
gudlavalleru	गुडलावल्लेरु
brano	ब्रानो
hichakiye	हिचकिए
dispenses	डिस्पेंस
ghinhapur	घिनहापुर
apparav	अप्परव
shubmala	शुभमला
mpes	एमपीईएस
madhusagar	मधुसागर
bijpasar	बीजपासर
kolange	कोलंगे
pilipokhar	पीलीपोखर
lippman	लिपमन
chandradhar	चंद्रधार
biowaste	बायोवैस्ट
sarbojonin	सर्बजोनिन
pradidvandi	प्रदिद्वंदी
strart	स्ट्रार्ट
jisalki	जिसलकी
ghoshwara	घोषवारा
mazaalim	मज़ालिम
mutthiyaan	मुट्ठियाँ
environmental	एन्वायर्नमेंटल
uchchaarita	उच्चारित
carmorate	कारमोरेट
jeevanrakshi	जीवनरक्षी
naushahar	नौशहर
peravalur	पेरावलुर
pwangshavel	प्वांगशेवेल
galole	गलोले
frane	फ्रेन
releat	रिलीट
nagesia	नागेसिया
caldarelli	काल्डारेली
algaate	अलगाते
updhaaraavaar	उपधारावार
hindenburg	हिन्डेनबर्ग
shikalyas	शिकल्यास
gorakhpur	गोरखपुरी
trimal	त्रिमल
romies	रोमीज
shaskan	शासकान
jagatsthite	जगत्स्थिते
duniyadar	दुनियादर
nirvaachati	निर्वाचति
kendradhyakshanchi	केंद्राध्यक्षांची
perfumed	परफ्यूम्ड
visaralyachya	विसरल्याच्या
mhabalshali	महाबलशाली
irai	आईआरएआई
checkero	चेकरो
lucecomb	लुसकॉम्ब
vijghar	वीजघर
badhaaen	बाधायें
sandigth	संदिग्थ
williors	विलियर्स
jhimu	झीमू
haraamjaadaa	हरामजादा
fudadin	फुदादीन
configurations	कॉन्फिगरेशन्स
kusooravaar	कुसूरवार
shaikshanak	शैक्षणक
paristiti	परिस्तिति
katherwan	कठेरवां
hridyshul	हृदयशूल
sadguno	सद्गुणों
safedanagar	सफेदानगर
kyropector	कायरोपेक्टर
asbestes	एस्बेस्टेस
frank	फ़्रेंक
moksharth	मोक्षार्थ
unsexy	अनसेक्सी
sankuchaati	संकुचाती
fantoosh	फंटूश
rachakonda	राचकोंड
swaparakram	स्वपराक्रम
pulavareel	पुलावरील
darshaye	दर्शाए
arleans	आर्लियंस
mukundadas	मुकुंददास
kotelli	कोटेल्ली
padaarthvaad	पदार्थवाद
upcapton	उपकैप्टन
madwaar	मदवार
warpok	वारपोक
shabir	सबीर
boliya	बोलिया
muasare	मुआसरे
nivaasmein	निवासमें
natyanirdeshak	नाट्यनिर्देशक
murthipalayam	मुर्तिपालयम
lagistic	लागिस्टिक
khesalilal	खेसालीलाल
prattek	प्रत्तेक
hallaboli	हल्लाबोली
chanchol	चांचोल
palazzo	पलाज़ो
tondupalli	टोंडुपल्ली
adhunmadhun	अधुनमधून
aparu	अपारु
aatmchitron	आत्मचित्रों
jaitapur	जैतापुर
madoff	मेडॉफ
viztek	विजटेक
adhimanyataon	अधिमान्यताओं
horashastra	होराशास्त्र
cff	सीएफएफ
saayee	सायी
samanant	समानंत
nirakaranasathi	निराकरणासाठी
pingri	पिंगरी
leila	लेइला
kafark	काफर्क
malathesa	मलाथेसा
rivalar	रिवालर
rashtrapatinche	राष्ट्रपतींचे
webpackage	वेबपैकेज
farmaayen	फ़र्मायें
ghanaian	घानाई
madhmukkhi	मधमुक्खी
kulula	कुलुला
buthareku	बुथारेकु
indurmadhil	इंदूरमधील
gadhanji	गाधनजी
sandwichwala	सैंडविचवाला
birlas	बिडला
ghadvinyasathi	घडविण्यासाठी
vinidhaanon	विनिधानों
chaubeeson	चौबीसों
reggaeton	रेगेटन
chauranabbe	चौरानब्बे
nanjundaswamy	नानजुंडास्वामी
debojyoti	देबोज्योति
gatirodho	गतिरोधो
sdst	एसडीएसटी
pudukotti	पुडुकोट्टि
dhruvanath	ध्रुवनाथ
asamprikt	असम्पृक्त
bedley	बेडली
nyaygram	न्यायग्राम
morket	मॉर्केट
renium	रेनियम
nirbalata	निर्बलता
kinba	किनबा
paperfry	पेपरफ्राय
sadiqul	सादिकुल
mutombo	मुटोम्बो
nikandanam	निकंदनम्
dhimyagatine	धिम्यागतीने
garyara	गरयारा
sewri	सीवरी
nanarthak	नानार्थक
fleshback	फ्लेशबैक
galundia	गलुण्डिया
joyshree	जोयश्री
ducati	डूकाटी
aantron	आन्त्रों
diseases	डिजीज
vemular	वेमुलर
stabilization	स्टेबिलाइजेश्न
bataon	बताओ
tansformer	टान्सफार्मर
hayashi	हायाशी
sheekshakon	शिक्षकों
ferronia	फेरोनिया
aakrandan	आक्रंदन
ashby	ऐशबाय
annabhagya	अन्नभाग्य
dargaahon	दरगाहों
hemorrhagic	हेमोरेजिक
bhashahin	भाषाहीन
nagaberi	नागाबेरी
threal	थ्रील
porsinis	पोर्सिनिस
mian	मियां
kkgss	केकेजीएसएस
lagaanewaale	लगानेवाले
bhimnagari	भीमनगरी
dakaarte	डकारते
khadagpuria	खड़गपुरिया
banavaticha	बनावटीचा
sanyogo	संयोगों
bharatmatrimony	भारतमैट्रिमनी
khilkhilaaengi	खिलखिलाएँगी
chakmalik	चकमलिक
anupadeya	अनुपादेय
tapioca	टेपिओका
sampaage	संपागे
patriae	पेटरेई
nepalibhashi	नेपालीभाषी
dardavanshi	दर्दवंशी
gujhiye	गुझिए
ertugrul	इर्तुग्रुल
khilgati	खिलगटी
ramanuzdas	रामानुजदास
vaarnik	वार्णिक
santran	संतरण
sajakta	सजकता
madhyaahr	मध्याह्र
utpaladal	उत्पलदल
nixi	एनआईएक्सआई
slogg	स्लॉग
vidvavanan	विद्वावनन
aupchaarit	औपचारित
makhaudaa	मखौड़ा
travancore	त्रवानकोर
extrazudicial	एक्स्ट्राज्यूडिशियल
gheranen	घेरनें
koj	कोज
fansuungaa	फँसूँगा
narasipuram	नरसीपुरम
cdaco	सीडीएसीओ
cellframe	सेलफ्रेम
aseptic	अपूतिक
laamu	लामू
zipnet	जिपनेट
carcinogenic	कार्सिनोजेनिक
dhawade	धवाडे
biobag	बॉयोबैग
arrested	अरेस्टिड
qasil	क़ासिल
ikhtara	इख्तारा
preshus	प्रेशस
bhendiye	भेंडिए
rohedia	रोहेडिया
polycylicon	पोलीसिलिकॉन
ripat	रिपट
mhaadesh	महादेश
dargela	दरगेला
pattharchattha	पत्थरचट्ठा
varnachetana	वर्णचेतना
ratadia	रताड़िया
bepattaprakarani	बेपत्ताप्रकरणी
sacp	एसएसीपी
limbodia	लिंबोदिया
aripal	अरीपाल
alaukikataa	अलौकिकता
sthirmukhi	स्थिरमुखी
balasubramanyar	बालसुब्रमण्यार
upayokartaon	उपयोकर्ताओं
ratnavel	रतनावेल
kgvk	केजीवीके
sangameswarala	संगमेश्वरला
pitradi	पित्रादि
namasya	नमस्य
bhatkhola	भाटखोला
atulanaatmak	अतुलनात्मक
boward	बोवार्ड
dauzakh	दौज़ख
musalmanon	मुसलमानों
chozha	चोजहा
nikasha	निकाशा
makardashah	मकरदशाह
ghapata	घपटा
sujanal	सुजनाल
kataavai	कटावै
nilabai	नीलाबाई
vishwavidyajay	विश्वविद्याजय
gluski	ग्लुस्की
baantana	बांटना
lagnanantar	लग्नानंतर
bhedarli	भेदरली
khelaune	खेलौने
ramanathpura	रामनाथपुरा
faroshi	फरोशी
chavadibazar	चावड़ीबाजार
jhagwal	झगवाल
fictionvise	फिक्शनवाइज
jhiriyaghat	झिरियाघाट
matla	मतला
pawra	पावरा
kadaladi	काडालाडी
rutlela	रुतलेला
kaajar	काजर
nanihal	नानीहाल
earwood	इयरवुड
ksiidc	केएसआईआईडीसी
amanpreet	अमनपी्रत
belwase	बेलवासे
garjanchya	गरजांच्या
loogadaa	लूगड़ा
michoacan	मिचोआकेन
laabhpradat	लाभप्रदत
sethashrayi	सेठाश्रयी
immersangy	इमरसेंजी
disasters	डिज़ास्टर्स
sesene	सेसेने
dharmantaranvirodhi	धर्मांतरणविरोधी
kaavite	काविते
mrityubaddal	मृत्यूबद्दल
dno	डीएनओ
dhaulawaria	धौलावरिया
headlamp	हेडलेम्प
kshayashil	क्षयशील
